created_at,co2_data,temp_data,humid_data,pm10_data,tvoc_data
2022-11-30 00:06:04,392.0,15.2,43.8,6.0,6644.0
2022-11-30 00:16:04,389.0,15.2,43.8,6.0,6649.0
2022-11-30 00:26:04,386.0,15.2,43.7,6.0,6579.0
2022-11-30 00:36:04,382.0,15.2,43.7,6.0,6614.0
2022-11-30 02:06:03,394.0,15.1,43.3,6.0,6313.0
2022-11-30 02:26:34,389.0,15.1,43.3,5.0,6348.0
2022-11-30 02:36:34,398.0,15.1,43.3,5.0,6348.0
2022-11-30 02:46:34,392.0,15.1,43.1,6.0,6283.0
2022-11-30 02:56:34,391.0,15.1,43.1,6.0,6248.0
2022-11-30 03:06:34,399.0,15.1,43.1,5.0,6197.0
2022-11-30 03:16:34,400.0,15.1,43.1,5.0,6182.0
2022-11-30 03:26:34,396.0,15.1,43.1,5.0,6278.0
2022-11-30 03:36:34,393.0,15.1,43.1,5.0,6207.0
2022-11-30 03:46:34,392.0,15.1,43.0,5.0,6263.0
2022-11-30 03:56:34,392.0,15.1,43.0,5.0,6228.0
2022-11-30 04:06:34,390.0,15.0,43.0,5.0,6177.0
2022-11-30 04:16:34,390.0,15.0,43.0,5.0,6142.0
2022-11-30 04:26:34,393.0,15.0,42.9,5.0,6072.0
2022-11-30 04:36:34,396.0,15.0,42.9,5.0,6032.0
2022-11-30 04:46:34,390.0,15.0,42.9,5.0,6142.0
2022-11-30 04:56:34,390.0,15.0,42.8,6.0,6102.0
2022-11-30 05:06:34,381.0,15.0,42.8,6.0,6207.0
2022-11-30 05:16:34,389.0,15.0,42.8,7.0,6077.0
2022-11-30 05:26:34,391.0,15.0,42.7,7.0,6102.0
2022-11-30 05:36:34,388.0,15.0,42.7,7.0,6107.0
2022-11-30 05:46:34,386.0,15.0,42.7,7.0,6057.0
2022-11-30 05:56:34,378.0,15.0,42.6,7.0,5977.0
2022-11-30 06:06:34,384.0,15.0,42.6,6.0,5957.0
2022-11-30 06:16:34,390.0,15.0,42.6,7.0,6002.0
2022-11-30 06:26:34,386.0,14.9,42.6,6.0,6017.0
2022-11-30 06:36:34,391.0,15.0,42.5,6.0,5866.0
2022-11-30 06:46:34,392.0,14.9,42.6,7.0,6042.0
2022-11-30 06:56:34,393.0,14.9,42.5,6.0,5851.0
2022-11-30 07:06:34,395.0,14.9,42.5,6.0,5897.0
2022-11-30 08:26:33,396.0,14.9,42.4,7.0,5992.0
2022-11-30 08:36:33,396.0,14.9,42.4,6.0,6027.0
2022-11-30 08:46:33,394.0,14.9,42.5,7.0,5876.0
2022-11-30 08:56:33,397.0,14.9,42.5,6.0,6022.0
2022-11-30 09:06:33,389.0,14.9,42.5,6.0,6007.0
2022-11-30 09:16:33,387.0,15.0,42.6,6.0,6147.0
2022-11-30 09:26:33,392.0,15.0,42.6,7.0,6268.0
2022-11-30 09:36:33,394.0,15.0,42.4,6.0,6172.0
2022-11-30 09:46:33,395.0,15.0,42.5,6.0,6147.0
2022-11-30 09:56:33,389.0,15.0,42.6,6.0,6303.0
2022-11-30 10:06:33,387.0,15.0,42.6,6.0,6303.0
2022-11-30 10:16:35,384.0,15.0,42.7,5.0,6433.0
2022-11-30 10:26:35,389.0,15.0,42.8,5.0,6508.0
2022-11-30 10:36:35,389.0,15.0,42.7,6.0,6368.0
2022-11-30 10:46:35,394.0,15.0,42.8,5.0,6498.0
2022-11-30 10:56:35,391.0,15.0,42.7,6.0,6513.0
2022-11-30 11:06:35,392.0,15.0,42.8,5.0,6599.0
2022-11-30 11:16:35,389.0,15.0,42.9,6.0,6604.0
2022-11-30 11:26:35,388.0,15.0,42.9,6.0,6644.0
2022-11-30 11:36:35,383.0,15.0,43.0,5.0,6859.0
2022-11-30 11:46:35,383.0,15.0,43.0,5.0,6794.0
2022-11-30 11:56:35,385.0,15.0,43.0,5.0,6839.0
2022-11-30 12:06:35,387.0,15.0,43.0,6.0,6824.0
2022-11-30 12:16:35,382.0,15.0,43.0,5.0,6965.0
2022-11-30 12:26:35,392.0,15.0,43.1,6.0,7171.0
2022-11-30 12:36:35,382.0,15.0,43.2,5.0,7171.0
2022-11-30 12:46:35,380.0,15.0,43.3,6.0,7408.0
2022-11-30 12:56:35,393.0,15.0,43.3,4.0,7622.0
2022-11-30 13:06:35,379.0,15.0,43.4,5.0,7959.0
2022-11-30 13:16:35,382.0,15.0,43.4,5.0,7790.0
2022-11-30 13:26:35,386.0,15.0,43.4,5.0,7971.0
2022-11-30 13:36:35,381.0,15.0,43.4,6.0,7892.0
2022-11-30 13:46:35,376.0,15.0,43.4,5.0,8274.0
2022-11-30 15:16:34,375.0,15.1,43.6,5.0,9445.0
2022-11-30 15:26:34,372.0,15.1,43.7,4.0,9558.0
2022-11-30 15:36:34,376.0,15.1,43.6,5.0,9468.0
2022-11-30 15:46:34,376.0,15.1,43.6,5.0,9546.0
2022-11-30 15:56:34,378.0,15.1,43.6,4.0,9817.0
2022-11-30 16:06:34,376.0,15.1,43.6,5.0,9940.0
2022-11-30 16:16:34,381.0,15.1,43.8,5.0,9873.0
2022-11-30 16:26:34,374.0,15.1,43.8,4.0,9999.0
2022-11-30 16:36:34,375.0,15.1,43.8,5.0,9999.0
2022-11-30 16:46:34,376.0,15.1,43.9,4.0,9999.0
2022-11-30 16:56:34,381.0,15.1,43.9,5.0,9999.0
2022-11-30 17:06:34,378.0,15.1,43.9,4.0,9999.0
2022-11-30 17:16:34,377.0,15.1,44.0,4.0,9999.0
2022-11-30 17:26:34,375.0,15.1,44.0,4.0,9999.0
2022-11-30 17:46:34,374.0,15.0,44.0,5.0,9999.0
2022-11-30 17:56:34,380.0,15.0,44.0,4.0,9999.0
2022-11-30 18:06:34,376.0,15.0,44.0,5.0,9999.0
2022-11-30 18:16:34,384.0,15.0,44.0,5.0,9999.0
2022-11-30 18:26:34,382.0,15.0,44.0,5.0,9999.0
2022-11-30 18:36:34,383.0,15.0,44.0,6.0,9999.0
2022-11-30 18:46:34,387.0,15.0,44.0,5.0,9999.0
2022-11-30 18:56:34,384.0,15.0,44.0,5.0,9999.0
2022-11-30 19:06:34,385.0,15.0,44.0,6.0,9999.0
2022-11-30 19:16:34,383.0,15.0,44.0,6.0,9999.0
2022-11-30 19:26:34,383.0,14.9,44.0,6.0,9999.0
2022-11-30 19:36:34,387.0,15.0,44.0,6.0,9999.0
2022-11-30 19:46:34,390.0,14.9,44.0,6.0,9999.0
2022-11-30 19:56:34,390.0,15.0,44.0,8.0,9999.0
2022-11-30 20:06:34,388.0,14.9,43.9,7.0,9918.0
2022-11-30 20:16:34,385.0,14.9,43.9,7.0,9999.0
2022-11-30 20:26:34,394.0,14.9,43.9,7.0,9760.0
2022-11-30 21:56:33,398.0,14.9,43.8,8.0,9220.0
2022-11-30 22:06:33,394.0,14.9,43.9,9.0,9333.0
2022-11-30 22:16:33,393.0,14.9,43.8,9.0,9333.0
2022-11-30 22:26:35,392.0,14.9,43.8,10.0,9062.0
2022-11-30 22:36:35,397.0,14.9,43.7,9.0,9378.0
2022-11-30 22:46:35,391.0,14.8,43.7,11.0,9231.0
2022-11-30 22:56:35,387.0,14.9,43.7,10.0,9164.0
2022-11-30 23:06:35,382.0,14.9,43.7,10.0,9366.0
2022-11-30 23:16:35,387.0,14.9,43.7,11.0,9321.0
2022-11-30 23:26:35,391.0,14.9,43.7,10.0,9040.0
